feature,importance
xmeas_5_std5,0.13650787544575682
xmv_3_std10,0.09422046346629225
xmeas_12_std5,0.049221628693407286
xmeas_15_std5,0.047658997725996424
xmeas_10_std10,0.04527038653255002
xmeas_1_std10,0.0437957004423426
xmv_3_std5,0.04180120289249971
xmv_8_std5,0.033400086064651
xmv_5_diff1,0.03245768345385612
xmv_7_std5,0.02613775344363379
xmeas_19_std5,0.025312094739700385
xmeas_29_std10,0.021619452100427993
xmv_9_std5,0.020021516297538084
xmeas_4_std10,0.018446816676856898
xmeas_20_diff1,0.017886995012791496
xmeas_19_diff1,0.01677182954439869
xmeas_13_std10,0.015730000685249438
xmeas_13_diff1,0.013795373625188031
xmeas_4_diff1,0.013160535622466486
xmeas_14_std5,0.012852640184952656
xmeas_5_std10,0.012726816476301316
xmeas_16_std10,0.011710564197255857
xmeas_18_diff1,0.011376043487936518
xmv_3_diff1,0.009988764039109895
xmeas_21,0.009730347862386959
xmeas_11_diff1,0.0093549154469188
xmeas_21_diff1,0.008809515295009068
xmeas_13_std5,0.008327573322848237
xmv_7_std10,0.0077534470230919035
xmeas_20_std5,0.007526843124763892
xmeas_17_std5,0.007483997940596844
xmeas_7_std10,0.007466585222935702
xmeas_29_diff1,0.007388969762834551
xmeas_18_std5,0.007375955646076268
xmv_9_diff1,0.007305007497153028
xmeas_25_std10,0.007102197169886428
xmeas_6_std5,0.0065297626389340556
xmeas_10_std5,0.006111648628455373
xmv_5,0.006046453572324539
xmeas_7_diff1,0.006041968859100705
xmv_5_scaled,0.006006722129157186
xmeas_16_diff1,0.0060039815872374655
xmeas_12_std10,0.00589566420911773
xmv_3_ma5,0.005436122381445817
xmv_11_std5,0.0053740628679504404
xmeas_2_std5,0.0047576363561720614
xmeas_34_std10,0.004189258124854067
xmeas_22_diff1,0.0039762209548944724
xmv_2_diff1,0.0038985719540288186
xmeas_28_std10,0.0035001596925220953
xmeas_1_diff1,0.0034716198476310643
xmeas_3_std5,0.0031547931957356494
xmeas_21_std5,0.0030768277856456443
xmeas_31_std10,0.0030529440006922524
xmv_2_std5,0.0029767544547376064
xmv_4_std5,0.0027202414929006066
xmv_7_diff1,0.0026716189176101022
xmeas_21_std10,0.002596421037263218
xmeas_20_std10,0.0024384944064235557
xmeas_16_std5,0.0022134614636665356
xmeas_7_std5,0.002161038808020706
xmeas_15_std10,0.002073409393317566
xmeas_3_diff1,0.002061249202239886
xmeas_12_diff1,0.0020374627429733958
xmeas_5_diff1,0.0019754286577101216
xmv_6_std5,0.001897771033565703
xmeas_23_std10,0.0016442210352298724
xmeas_18_std10,0.0015404118234021642
xmeas_14_diff1,0.0013915626085064668
xmeas_1_std5,0.001197570335173479
xmeas_23_std5,0.0010616779606377246
xmeas_2_std10,0.000989453274195677
xmeas_38_std10,0.0009821304013072807
xmeas_26_std5,0.0009701515582149062
xmeas_22_std10,0.0009114464150429652
xmv_8_std10,0.0009108662451478896
xmeas_19_std10,0.0009028299663376582
xmeas_39_std10,0.0008903002448462712
xmv_5_std10,0.0008322557167694842
xmeas_37_std10,0.0007830883844921971
xmv_10_std10,0.00077517551050408
xmeas_11_std10,0.0007018619520387542
xmeas_17_std10,0.000699016159120664
xmeas_8_std5,0.00059290540782337
xmeas_40_std10,0.00037872843921943035
